обычно мне очень скучно;обычно я полон энергии
Жизнь кажется мне всегда волнующей и захвтывающей;Жизнь кажется мне совершенно спокойной  и рутинной
В жизни я не имею определенных целей и намерений;В жизни я имею очень ясные цели и намерения
Моя жизнь представляется мне крайне бессмысленной и бесцельной;Моя жизнь представляется мне вполне осмысленной и целеустремленной
Каждый день кажется мне всегда новым и непохожим на другие;Каждый день кажется мне совершенно похожим на все другие
Когда я уйд на пенсию, я займусь интересными вещами, которыми всегда мечтал заняться;Когда я уйд на пенсию, я постараюсь не обременять себя никакими заботами
Моя жизнь сложилась именно так, как я мечтал;Моя жизнь сложилась совсем не так, как я мечтал
Я не добился успехов в осуществлении своих жизненных планов;Я осуществил многое из того, что было мною запланированно в жизни
Моя жизнь пуста и неинтересна;Моя жизни наполнена интересными делами
Если бы мне пришлось подводить сегодня итог моей жизни, то я бы сказал, что она была вполне осмысленной.;Если бы мне пришлось сегодня подводить итог моей жизни, то я бы сказал, что она не имеет смысла
Если бы я мог выбирать, то я бы построил свою жизнь совершенно иначе.;Если бы я мог выбирать, то я бы прожил жизнь еще раз так же, как живу сейчас
Когда я смотрю на окружающий меня мир, он часто приводит меня в растерянность и беспокойство.;Когда я смотрю на окружающий меня мир, он совсем не вызывает у меня беспокойства и растерянности
Я человек очень обязательный;Я человек совсем не обязательный
Я полагаю, что человек имеет возможность осуществить свой жизненный выбор по своему желанию;Я полагаю, что человек лишен возможности выбирать из-за влияния природных способностей и обстоятельств
Я определенно могу назвать себя целеустремленным человеком;Я не могу назвать себя целеустремленным человеком
В жизни я еще не нашел своего призвания и ясных целей;В жизни я нашел свое призвание и цели
Мои жизненные взгляды еще не определились;Мои жизненные взгляды вполне определились
Я считаю, что мне удалось найти призвание и интересные цели в жизни;Я едва ли способен найти призвание и интересные цели в жизни
Моя жизнь в моих руках, и я сам управляю ею;Моя жизнь не подвластна мне и она управляется внешними событиями
Мои повседневные дела приносят мне удовольствие и удовлетворение;Мои повседневные дела приносят мне сплошные неприятности и переживания
